timestamp_data_utc,elv_spy,speed,soc,amb_temp,soh,regenwh,Motor Pwr(w),Aux Pwr(100w),Motor Temp,Torque Nm,rpm,route_id,longitude,latitude,altitude,timestamp_gps_utc,car_id,time_diff,point_geom,route_code,route_description,driver,start_timestamp,end_timestamp,car_code,car_description,capacity,ref_consumption,timestamp_weather_utc,wind_mph,wind_kph,wind_degree,wind_dir,Frontal_Wind,Veh_deg,totalVehicles,speedAvg,cars_by_speed_interval_0_80,cars_by_speed_interval_80_100,cars_by_speed_interval_100_120,cars_by_speed_interval_0_50,cars_by_speed_interval_50_80,cars_by_speed_interval_80_120,cars_by_speed_interval_120_inf,cars_by_length_interval_0_7,cars_by_length_interval_7_inf,max_speed,radius
30:29.7,,,52,,98.5,,,,,,,9,-1.9834342,43.290115,167.6909,30:29.8,7,-0.085,0101000020E610000030999B7425BCFFBFB1DEBE8022A54540,20230418_DACIA_DONOSTIA_IRUN_009,,d3,30:26.9,08:11.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,29:12.8,2.2,3.6,10,N,2.690334455454445,-58.358338030777226,498,96,44.0,222.0,223.0,,,,9,448,50,25,2
30:35.2,,,52,,98.5,,,,,,,9,-1.9832555,43.289825,168.58531000000002,30:34.8,7,0.424,0101000020E6100000C9DEF7106ABBFFBF14310CF618A54540,20230418_DACIA_DONOSTIA_IRUN_009,,d3,30:26.9,08:11.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,29:12.8,2.2,3.6,10,N,3.3725163947350514,-79.52257640390181,498,96,44.0,222.0,223.0,,,,9,448,50,25,2
30:40.7,,,52,,98.5,,,,,,,9,-1.983161,43.289314000000005,169.66756999999998,30:40.9,7,-0.16699999999999998,0101000020E610000003E2A1F406BBFFBF0FEC0A4A08A54540,20230418_DACIA_DONOSTIA_IRUN_009,,d3,30:26.9,08:11.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,29:12.8,2.2,3.6,10,N,2.7939514547478073,-60.904653410838385,498,96,44.0,222.0,223.0,,,,9,448,50,25,2
30:46.3,,,52,,98.5,,,,,,,9,-1.9829550999999999,43.288944,169.6909,30:45.9,7,0.4,0101000020E61000009DF1CD282FBAFFBF83D01B21FCA44540,20230418_DACIA_DONOSTIA_IRUN_009,,d3,30:26.9,08:11.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,29:12.8,2.2,3.6,10,N,2.810226554194483,-61.31723844423294,498,96,44.0,222.0,223.0,,,,9,448,50,25,2
30:51.7,,,52,,98.5,,,,,,,9,-1.9827668999999999,43.2886,169.58739,30:51.9,7,-0.125,0101000020E6100000B18533C369B9FFBFB20222D6F0A44540,20230418_DACIA_DONOSTIA_IRUN_009,,d3,30:26.9,08:11.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,29:12.8,2.2,3.6,10,N,3.484799559734437,-114.53377482310952,498,96,44.0,222.0,223.0,,,,9,448,50,25,2
30:57.3,,,52,,98.5,,,,,,,9,-1.9829335,43.288235,171.24466,30:56.9,7,0.415,0101000020E610000017221F7418BAFFBF8D10EBD6E4A44540,20230418_DACIA_DONOSTIA_IRUN_009,,d3,30:26.9,08:11.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,29:12.8,2.2,3.6,10,N,3.088690866106031,-130.9106221243924,498,96,44.0,222.0,223.0,,,,9,448,50,25,2
31:03.0,,,52,,98.5,,,,,,,9,-1.9831848,43.287945,173.11942,31:02.9,7,0.026000000000000002,0101000020E61000007ABE2BF21FBBFFBF81E33A5EDBA44540,20230418_DACIA_DONOSTIA_IRUN_009,,d3,30:26.9,08:11.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,29:12.8,2.2,3.6,10,N,3.599731192226228,-100.7001804722639,498,96,44.0,222.0,223.0,,,,9,448,50,25,2
31:08.6,,,52,,98.5,,,,,,,9,-1.9832481,43.28761,175.32587,31:09.0,7,-0.37,0101000020E61000001C594B6A62BBFFBF495DC462D0A44540,20230418_DACIA_DONOSTIA_IRUN_009,,d3,30:26.9,08:11.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,29:12.8,2.2,3.6,10,N,-1.6890364918589755,17.98087431611914,498,96,44.0,222.0,223.0,,,,9,448,50,25,2
31:15.4,,,52,,98.5,,,,,,,9,-1.982675,43.287796,175.59172,31:15.0,7,0.385,0101000020E6100000606B4C6B09B9FFBFA515F48ED6A44540,20230418_DACIA_DONOSTIA_IRUN_009,,d3,30:26.9,08:11.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,29:12.8,2.2,3.6,10,N,-1.9753899422470247,23.27920469154054,498,96,44.0,222.0,223.0,,,,9,448,50,25,2
31:21.1,,,52,,98.5,,,,,,,9,-1.9820148999999998,43.28808,175.03171,31:21.1,7,-0.01,0101000020E61000005A7CF03655B6FFBF728910B7DFA44540,20230418_DACIA_DONOSTIA_IRUN_009,,d3,30:26.9,08:11.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,29:12.8,2.2,3.6,10,N,-1.6066110878124498,16.505316832479256,498,96,44.0,222.0,223.0,,,,9,448,50,25,2
