timestamp_data_utc,elv_spy,speed,soc,amb_temp,soh,regenwh,Motor Pwr(w),Aux Pwr(100w),Motor Temp,Torque Nm,rpm,route_id,longitude,latitude,altitude,timestamp_gps_utc,car_id,time_diff,point_geom,route_code,route_description,driver,start_timestamp,end_timestamp,car_code,car_description,capacity,ref_consumption,timestamp_weather_utc,wind_mph,wind_kph,wind_degree,wind_dir,Frontal_Wind,Veh_deg,totalVehicles,speedAvg,cars_by_speed_interval_0_80,cars_by_speed_interval_80_100,cars_by_speed_interval_100_120,cars_by_speed_interval_0_50,cars_by_speed_interval_50_80,cars_by_speed_interval_80_120,cars_by_speed_interval_120_inf,cars_by_length_interval_0_7,cars_by_length_interval_7_inf,max_speed,radius
34:01.4,,,97,,98.5,,,,,,,51,-2.8763468,43.229282,136.18896,34:01.4,6,0.04,0101000020E6100000581B4B1FC20207C091EC0516599D4540,20230420_DACIA_BILBAO_EIBAR_051,,d2,33:44.3,05:18.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,33:19.6,10.5,16.9,300,WNW,10.035657481343053,-83.57102260689419,216.0,138.0,,3.0,40.0,,,,172.0,183.0,33.0,30,4.0
34:07.1,,,97,,98.5,,,,,,,51,-2.8763077,43.228935,136.7209,34:07.4,6,-0.34600000000000003,0101000020E610000067EDDAADAD0207C09D9EE3C94D9D4540,20230420_DACIA_BILBAO_EIBAR_051,,d2,33:44.3,05:18.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,33:19.6,10.5,16.9,300,WNW,6.766432407454751,-96.3980252343602,216.0,138.0,,3.0,40.0,,,,172.0,183.0,33.0,25,4.0
34:12.6,,,97,,98.5,,,,,,,51,-2.8763650000000003,43.228424,137.69923,34:12.5,6,0.153,0101000020E6100000C6C612A5CB0207C04EBBC6F83C9D4540,20230420_DACIA_BILBAO_EIBAR_051,,d2,33:44.3,05:18.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,33:19.6,10.5,16.9,300,WNW,6.877075313359295,-95.98802718026734,172.0,151.0,,,79.0,,,,46.0,74.0,98.0,25,4.0
34:18.2,,,97,,98.5,,,,,,,51,-2.8764336,43.22777,139.35002,34:18.5,6,-0.342,0101000020E6100000205964ADEF0207C021DA0B99279D4540,20230420_DACIA_BILBAO_EIBAR_051,,d2,33:44.3,05:18.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,33:19.6,10.5,16.9,300,WNW,15.384868695191464,-54.44661551358351,172.0,151.0,,,79.0,,,,46.0,74.0,98.0,25,4.0
34:24.0,,,97,,98.5,,,,,,,51,-2.8760884,43.227287,139.81169,34:23.6,6,0.39,0101000020E6100000E03D3CA53A0207C0C348E4C5179D4540,20230420_DACIA_BILBAO_EIBAR_051,,d2,33:44.3,05:18.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,33:19.6,10.5,16.9,300,WNW,14.449860418198151,-61.237909074499285,172.0,151.0,,,79.0,,,,46.0,74.0,98.0,25,4.0
34:29.4,,,97,,98.5,,,,,,,51,-2.8758156,43.22679,138.88103,34:29.6,6,-0.207,0101000020E6100000E5350997AB0107C059472A7D079D4540,20230420_DACIA_BILBAO_EIBAR_051,,d2,33:44.3,05:18.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,33:19.6,10.5,16.9,300,WNW,-8.029939765530996,-148.3687500224417,172.0,151.0,,,79.0,,,,46.0,74.0,98.0,25,4.0
34:35.0,,,97,,98.5,,,,,,,51,-2.876327,43.226475,137.48259,34:34.7,6,0.32299999999999995,0101000020E6100000DA7F07B7B70207C0AEB25B25FD9C4540,20230420_DACIA_BILBAO_EIBAR_051,,d2,33:44.3,05:18.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,33:19.6,10.5,16.9,300,WNW,-16.79698433674132,156.32946151513858,172.0,151.0,,,79.0,,,,46.0,74.0,98.0,25,4.0
34:40.5,,,97,,98.5,,,,,,,51,-2.8770569999999998,43.226795,136.52434,34:40.7,6,-0.19899999999999998,0101000020E61000009C11327C360407C004F4CB95079D4540,20230420_DACIA_BILBAO_EIBAR_051,,d2,33:44.3,05:18.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,33:19.6,10.5,16.9,300,WNW,-9.717644703597381,95.10023182367588,172.0,151.0,,,79.0,,,,46.0,74.0,98.0,30,4.0
34:46.1,,,97,,98.5,,,,,,,51,-2.8771226000000003,43.22753,131.53772,34:45.7,6,0.358,0101000020E6100000EF8B88E0580407C07974EBC71F9D4540,20230420_DACIA_BILBAO_EIBAR_051,,d2,33:44.3,05:18.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,33:19.6,10.5,16.9,300,WNW,-11.555431798825566,103.13764474694106,216.0,138.0,,3.0,40.0,,,,172.0,183.0,33.0,80,3.0
34:51.6,,,96,,98.5,,,,,,,51,-2.8773560000000002,43.22853,128.53294,34:51.8,6,-0.18600000000000003,0101000020E610000025219245D30407C005AFA171409D4540,20230420_DACIA_BILBAO_EIBAR_051,,d2,33:44.3,05:18.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,33:19.6,10.5,16.9,300,WNW,-8.199228545298528,89.02305086997102,216.0,138.0,,3.0,40.0,,,,172.0,183.0,33.0,25,3.0
34:57.1,,,96,,98.5,,,,,,,51,-2.8773397999999997,43.22948,127.97176,34:56.8,6,0.287,0101000020E610000031D16CC8CA0407C0E8D019A35F9D4540,20230420_DACIA_BILBAO_EIBAR_051,,d2,33:44.3,05:18.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,33:19.6,10.5,16.9,300,WNW,-1.3384415704686385,64.54245250556652,216.0,138.0,,3.0,40.0,,,,172.0,183.0,33.0,30,3.0
