timestamp_data_utc,elv_spy,speed,soc,amb_temp,soh,regenwh,Motor Pwr(w),Aux Pwr(100w),Motor Temp,Torque Nm,rpm,route_id,longitude,latitude,altitude,timestamp_gps_utc,car_id,time_diff,point_geom,route_code,route_description,driver,start_timestamp,end_timestamp,car_code,car_description,capacity,ref_consumption,timestamp_weather_utc,wind_mph,wind_kph,wind_degree,wind_dir,Frontal_Wind,Veh_deg,totalVehicles,speedAvg,cars_by_speed_interval_0_80,cars_by_speed_interval_80_100,cars_by_speed_interval_100_120,cars_by_speed_interval_0_50,cars_by_speed_interval_50_80,cars_by_speed_interval_80_120,cars_by_speed_interval_120_inf,cars_by_length_interval_0_7,cars_by_length_interval_7_inf,max_speed,radius
12:09.9,,,94,,98.5,,,,,,,47,-1.9728534,43.267838,84.97023,12:10.0,6,-0.152,0101000020E610000089018ABECE90FFBFEB403B7E48A24540,20230420_DACIA_HERNANI_EIBAR_047,,d1,11:14.5,07:44.5,DACIA_SPRING,Dacia Spring 33 kW,33000,139,13:37.1,2.2,3.6,315,NW,-2.8038589000689766,173.84462516159536,477,93,,,,0.0,102.0,373.0,2,336,141,25,2
12:15.5,,,94,,98.5,,,,,,,47,-1.9736601000000003,43.267925,87.02875,12:16.1,6,-0.508,0101000020E6100000176446931C94FFBF9D7B85584BA24540,20230420_DACIA_HERNANI_EIBAR_047,,d1,11:14.5,07:44.5,DACIA_SPRING,Dacia Spring 33 kW,33000,139,13:37.1,2.2,3.6,315,NW,-2.9268720433966857,170.6079469950382,477,93,,,,0.0,102.0,373.0,2,336,141,25,2
12:21.1,,,94,,98.5,,,,,,,47,-1.9738717000000001,43.267959999999995,90.469505,12:21.1,6,0.055999999999999994,0101000020E6100000B9033384FA94FFBF1F5612854CA24540,20230420_DACIA_HERNANI_EIBAR_047,,d1,11:14.5,07:44.5,DACIA_SPRING,Dacia Spring 33 kW,33000,139,13:37.1,2.2,3.6,315,NW,-1.4340640940427065,68.47514049806824,477,93,,,,0.0,102.0,373.0,2,336,141,55,2
12:26.7,,,94,,98.5,,,,,,,47,-1.9737376,43.2683,94.921196,12:27.2,6,-0.451,0101000020E6100000E19C98D56D94FFBFDA1CA7A657A24540,20230420_DACIA_HERNANI_EIBAR_047,,d1,11:14.5,07:44.5,DACIA_SPRING,Dacia Spring 33 kW,33000,139,13:37.1,2.2,3.6,315,NW,-0.5568999324351712,53.89907438023233,477,93,,,,0.0,102.0,373.0,2,336,141,25,2
12:32.3,,,94,,98.5,,,,,,,47,-1.9735654999999999,43.268536,96.74668,12:32.2,6,0.053,0101000020E61000000328056DB993FFBF26F3F8505FA24540,20230420_DACIA_HERNANI_EIBAR_047,,d1,11:14.5,07:44.5,DACIA_SPRING,Dacia Spring 33 kW,33000,139,13:37.1,2.2,3.6,315,NW,-1.3203329833872213,66.51588470959439,477,93,,,,0.0,102.0,373.0,2,336,141,25,2
12:37.8,,,94,,98.5,,,,,,,47,-1.9735276999999998,43.268623,97.79719,12:37.3,6,0.502,0101000020E61000000CB9B4CE9193FFBF2878E24862A24540,20230420_DACIA_HERNANI_EIBAR_047,,d1,11:14.5,07:44.5,DACIA_SPRING,Dacia Spring 33 kW,33000,139,13:37.1,2.2,3.6,315,NW,-0.8459108259626936,58.590162638895244,477,93,,,,0.0,102.0,373.0,2,336,141,25,2
12:43.3,,,94,,98.5,,,,,,,47,-1.9734416000000001,43.268764000000004,100.131424,12:43.3,6,0.034,0101000020E610000033B204863793FFBFCFA488E866A24540,20230420_DACIA_HERNANI_EIBAR_047,,d1,11:14.5,07:44.5,DACIA_SPRING,Dacia Spring 33 kW,33000,139,13:37.1,2.2,3.6,315,NW,0.5743460884181467,35.8197691365962,477,93,,,,0.0,102.0,373.0,2,336,141,25,2
12:48.8,,,94,,98.5,,,,,,,47,-1.9733363000000002,43.268840000000004,100.25514,12:48.4,6,0.385,0101000020E6100000C42D892EC992FFBF9143D85369A24540,20230420_DACIA_HERNANI_EIBAR_047,,d1,11:14.5,07:44.5,DACIA_SPRING,Dacia Spring 33 kW,33000,139,13:37.1,2.2,3.6,315,NW,3.56900583577171,-52.52382049704154,477,93,,,,0.0,102.0,373.0,2,336,141,25,2
12:54.3,,,94,,98.5,,,,,,,47,-1.973334,43.268837,99.99396999999999,12:54.4,6,-0.14,0101000020E6100000C080879DC692FFBF03E2004669A24540,20230420_DACIA_HERNANI_EIBAR_047,,d1,11:14.5,07:44.5,DACIA_SPRING,Dacia Spring 33 kW,33000,139,13:37.1,2.2,3.6,315,NW,0.2245618300464722,41.423665626791504,477,93,,,,0.0,102.0,373.0,2,336,141,25,2
12:59.7,,,94,,98.5,,,,,,,47,-1.9732966,43.26887,96.95144,12:59.5,6,0.19899999999999998,0101000020E61000002CE159899F92FFBF0849015C6AA24540,20230420_DACIA_HERNANI_EIBAR_047,,d1,11:14.5,07:44.5,DACIA_SPRING,Dacia Spring 33 kW,33000,139,13:37.1,2.2,3.6,315,NW,1.3669000962652451,22.685241212607643,477,93,,,,0.0,102.0,373.0,2,336,141,25,2
