timestamp_data_utc,elv_spy,speed,soc,amb_temp,soh,regenwh,Motor Pwr(w),Aux Pwr(100w),Motor Temp,Torque Nm,rpm,route_id,longitude,latitude,altitude,timestamp_gps_utc,car_id,time_diff,point_geom,route_code,route_description,driver,start_timestamp,end_timestamp,car_code,car_description,capacity,ref_consumption,timestamp_weather_utc,wind_mph,wind_kph,wind_degree,wind_dir,Frontal_Wind,Veh_deg,totalVehicles,speedAvg,cars_by_speed_interval_0_80,cars_by_speed_interval_80_100,cars_by_speed_interval_100_120,cars_by_speed_interval_0_50,cars_by_speed_interval_50_80,cars_by_speed_interval_80_120,cars_by_speed_interval_120_inf,cars_by_length_interval_0_7,cars_by_length_interval_7_inf,max_speed,radius
22:13.5,,,79,,98.5,,,,,,,57,-1.9679491999999998,43.32954,159.24878,22:13.1,6,0.41,0101000020E6100000C5D5334AB87CFFBFB3A791542EAA4540,20230421_DACIA_ULIA_HERNANI_057,,d3,22:09.1,03:42.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,21:50.8,5.6,9,60,ENE,-0.7922632955179668,-54.94975832024708,446,112,1.0,43.0,308.0,,,,94,208,238,25,3
22:22.0,,,79,,98.5,,,,,,,57,-1.9676714,43.329144,178.14001000000002,22:22.2,6,-0.13,0101000020E6100000CC5DF00E957BFFBF8A9B6C6621AA4540,20230421_DACIA_ULIA_HERNANI_057,,d3,22:09.1,03:42.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,21:50.8,5.6,9,60,ENE,-5.394137731194945,-23.176738577277877,446,112,1.0,43.0,308.0,,,,94,208,238,8,3
22:28.8,,,79,,98.5,,,,,,,57,-1.9670383999999999,43.328873,170.08887,22:29.2,6,-0.371,0101000020E6100000D2659C4CFD78FFBF1D82367B18AA4540,20230421_DACIA_ULIA_HERNANI_057,,d3,22:09.1,03:42.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,23:02.1,5.6,9,60,ENE,-6.640996350521687,-12.448143970451502,446,112,1.0,43.0,308.0,,,,94,208,238,8,3
22:34.7,,,79,,98.5,,,,,,,57,-1.9666171000000001,43.32878,172.05188,22:34.2,6,0.456,0101000020E6100000497CF6754377FFBFE9041B7415AA4540,20230421_DACIA_ULIA_HERNANI_057,,d3,22:09.1,03:42.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,23:02.1,5.6,9,60,ENE,-7.014269474178469,-8.79768563280658,446,112,1.0,43.0,308.0,,,,94,208,238,8,3
22:40.3,,,79,,98.5,,,,,,,57,-1.9661325,43.328705,172.84668,22:40.2,6,0.057,0101000020E61000000B9E9D674775FFBFFC87570613AA4540,20230421_DACIA_ULIA_HERNANI_057,,d3,22:09.1,03:42.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,23:02.1,5.6,9,60,ENE,-3.1817582440391,-39.29670166108396,446,112,1.0,43.0,308.0,,,,94,208,238,8,3
22:45.8,,,79,,98.5,,,,,,,57,-1.9657476000000003,43.32839,174.29468,22:45.2,6,0.505,0101000020E6100000F112F7B3B373FFBFD8FD3AA208AA4540,20230421_DACIA_ULIA_HERNANI_057,,d3,22:09.1,03:42.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,23:02.1,5.6,9,60,ENE,1.4608035691735466,-69.34108993671497,446,112,1.0,43.0,308.0,,,,94,208,238,8,3
22:51.4,,,79,,98.5,,,,,,,57,-1.9655175999999999,43.32778,175.01733000000002,22:51.3,6,0.129,0101000020E61000000EC305A8C272FFBFC49D03B2F4A94540,20230421_DACIA_ULIA_HERNANI_057,,d3,22:09.1,03:42.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,23:02.1,5.6,9,60,ENE,-3.4604395129321626,-37.38771397758235,446,112,1.0,43.0,308.0,,,,94,208,238,8,3
22:57.2,,,79,,98.5,,,,,,,57,-1.9650112000000002,43.327393,173.80688,22:57.3,6,-0.129,0101000020E61000004D8C9FA5AF70FFBFE964CA03E8A94540,20230421_DACIA_ULIA_HERNANI_057,,d3,22:09.1,03:42.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,23:02.1,5.6,9,60,ENE,-8.569819277472153,12.2136402750669,446,112,1.0,43.0,308.0,,,,94,208,238,20,3
23:03.3,,,79,,98.5,,,,,,,57,-1.9643598000000002,43.327534,173.2221,23:03.3,6,-0.033,0101000020E6100000C8DEDE77046EFFBF2E3096AFECA94540,20230421_DACIA_ULIA_HERNANI_057,,d3,22:09.1,03:42.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,23:02.1,5.6,9,60,ENE,-6.504644692946403,-13.718975267078077,446,112,1.0,43.0,308.0,,,,94,208,238,8,3
23:08.9,,,79,,98.5,,,,,,,57,-1.9638109000000001,43.3274,171.48016,23:09.4,6,-0.442,0101000020E6100000BFD7CEFFC46BFFBF547F7335E8A94540,20230421_DACIA_ULIA_HERNANI_057,,d3,22:09.1,03:42.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,23:02.1,5.6,9,60,ENE,-2.8002127441992846,-41.87237093964205,446,112,1.0,43.0,308.0,,,,94,208,238,8,3
