Actual,Predicted
3.3768518,2.9703717
1.1569445,1.428077
1.4,1.5618172
1.2800926,1.5115116
1.2282407,1.3765576
2.0935187,1.9294404
1.5296296,1.3269037
2.6671295,2.9051645
1.3157408,1.6082759
1.5717592,1.3413202
1.1731482,1.2420332
0.3662037,0.15853575
1.963889,1.398522
1.675463,1.4714999
1.8958334,1.4301208
1.4615741,1.4030927
1.1925926,1.4545377
0.8037037,0.42486143
1.6981481,1.468087
2.874537,2.9141943
1.1439815,0.49720976
2.0222223,1.345444
3.2601852,2.884702
3.026852,3.3133006
1.6009259,1.2699598
2.4726853,2.3064835
2.9231482,2.8091228
1.3319445,1.3724601
1.4064815,1.3142135
3.026852,2.9424672
1.0824074,1.3332614
2.2976854,2.6553414
0.81990737,1.322644
1.6625,1.4532756
1.5912037,1.2582662
0.82314813,1.1991408
1.4194444,1.1956065
2.8453703,3.039059
1.1180555,1.3388453
1.6787038,1.359618
3.1953704,2.9398437
2.0125,1.3007567
1.5620371,1.4942118
2.7027779,2.8527558
1.3319445,1.4195961
1.4356481,1.4084092
1.6268519,1.5875715
1.1958333,1.4676173
1.7532407,1.4497335
0.8263889,1.2169636
2.4597223,2.4455192
1.3546296,1.2029332
1.5782408,1.5922277
1.1439815,1.3024821
