Actual,Predicted
3.3768518,3.098919
1.1569445,1.4772307
1.4,1.3278362
1.2800926,1.5183548
1.2282407,1.449436
2.0935187,2.635095
1.5296296,1.3644719
2.6671295,3.2036822
1.3157408,1.3676533
1.5717592,1.393286
1.1731482,1.4996824
0.3662037,0.08122813
1.963889,1.3331431
1.675463,1.7962412
1.8958334,1.440215
1.4615741,1.4068587
1.1925926,1.4671764
0.8037037,0.2988734
1.6981481,1.6027637
2.874537,3.1203866
1.1439815,1.0084704
2.0222223,1.394041
3.2601852,3.146084
3.026852,3.3796477
1.6009259,1.4295365
2.4726853,2.4407582
2.9231482,2.9641464
1.3319445,1.3535751
1.4064815,1.3731266
3.026852,3.0817382
1.0824074,1.433845
2.2976854,2.7787216
0.81990737,1.4491618
1.6625,1.37478
1.5912037,1.4465606
0.82314813,1.2351568
1.4194444,1.2665727
2.8453703,3.1720529
1.1180555,1.2967595
1.6787038,1.3165029
3.1953704,3.0499592
2.0125,1.556789
1.5620371,1.4703237
2.7027779,3.0434983
1.3319445,1.6784747
1.4356481,1.3839356
1.6268519,1.7761128
1.1958333,1.4084083
1.7532407,1.4240767
0.8263889,0.9718551
2.4597223,2.350051
1.3546296,0.89230114
1.5782408,1.5183343
1.1439815,1.4091889
