Actual,Predicted
3.3768518,2.9964838
1.1569445,1.4794635
1.4,1.7387472
1.2800926,1.5486019
1.2282407,1.3587047
2.0935187,2.2065346
1.5296296,1.330576
2.6671295,3.0707397
1.3157408,1.5077763
1.5717592,1.4425149
1.1731482,1.2490999
0.3662037,0.12522273
1.963889,1.4070745
1.675463,1.5561278
1.8958334,1.4237468
1.4615741,1.4079988
1.1925926,1.5262064
0.8037037,0.5329151
1.6981481,1.4321213
2.874537,2.9711561
1.1439815,0.5795176
2.0222223,1.3803122
3.2601852,2.9916344
3.026852,3.4736807
1.6009259,1.2904825
2.4726853,2.3274493
2.9231482,2.8786218
1.3319445,1.3357699
1.4064815,1.365917
3.026852,2.9118805
1.0824074,1.4167339
2.2976854,3.0968318
0.81990737,1.3400419
1.6625,1.4376326
1.5912037,1.2692575
0.82314813,1.3891371
1.4194444,1.1534288
2.8453703,3.1741738
1.1180555,1.3264976
1.6787038,1.363081
3.1953704,2.9574745
2.0125,1.3258859
1.5620371,1.383354
2.7027779,2.8908536
1.3319445,1.6762487
1.4356481,1.3907125
1.6268519,1.7148608
1.1958333,1.3429183
1.7532407,1.5278485
0.8263889,1.3210521
2.4597223,2.478742
1.3546296,1.1760935
1.5782408,1.6419657
1.1439815,1.3590621
